CPT_LONG_DESCRIPTION|CPT_ADD_NOTE|CPT_CODE|CPT_SHORT_DESCRIPTION
LAYER CLOSURE OF WOUNDS OF NECK, HANDS, FEET AND/OR EXTERNAL GENITALIA; 12.6 CM TO 20.0 CM||12045|LAYER CLOSURE OF WOUND(S)
LAYER CLOSURE OF WOUNDS OF NECK, HANDS, FEET AND/OR EXTERNAL GENITALIA; 20.1 CM TO 30.0 CM||12046|LAYER CLOSURE OF WOUND(S)
LAYER CLOSURE OF WOUNDS OF NECK, HANDS, FEET AND/OR EXTERNAL GENITALIA; OVER 30.0 CM||12047|LAYER CLOSURE OF WOUND(S)
LAYER CLOSURE OF WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 2.5 CM OR LESS||12051|LAYER CLOSURE OF WOUND(S)
LAYER CLOSURE OF WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 2.6 CM TO 5.0 CM||12052|LAYER CLOSURE OF WOUND(S)
LAYER CLOSURE OF WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 5.1 CM TO 7.5 CM||12053|LAYER CLOSURE OF WOUND(S)
LAYER CLOSURE OF WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 7.6 CM TO 12.5 CM||12054|LAYER CLOSURE OF WOUND(S)
LAYER CLOSURE OF WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 12.6 CM TO 20.0 CM||12055|LAYER CLOSURE OF WOUND(S)
LAYER CLOSURE OF WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 20.1 CM TO 30.0 CM||12056|LAYER CLOSURE OF WOUND(S)
LAYER CLOSURE OF WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; OVER 30.0 CM||12057|LAYER CLOSURE OF WOUND(S)
REPAIR, COMPLEX, TRUNK; 1.1 CM TO 2.5 CM||13100|REPAIR OF WOUND OR LESION
REPAIR, COMPLEX, TRUNK; 2.6 CM TO 7.5 CM||13101|REPAIR OF WOUND OR LESION
REPAIR, COMPLEX, TRUNK; EACH ADDITIONAL 5 CM OR LESS (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)||13102|REPAIR WOUND/LESION ADD-ON
REPAIR, COMPLEX, SCALP, ARMS, AND/OR LEGS; 1.1 CM TO 2.5 CM||13120|REPAIR OF WOUND OR LESION
REPAIR, COMPLEX, SCALP, ARMS, AND/OR LEGS; 2.6 CM TO 7.5 CM||13121|REPAIR OF WOUND OR LESION
REPAIR, COMPLEX, SCALP, ARMS, AND/OR LEGS; EACH ADDITIONAL 5 CM OR LESS (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)||13122|REPAIR WOUND/LESION ADD-ON
REPAIR, COMPLEX, FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, AXILLAE, GENITALIA, HANDS AND/OR FEET; 1.1 CM TO 2.5 CM||13131|REPAIR OF WOUND OR LESION
REPAIR, COMPLEX, FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, AXILLAE, GENITALIA, HANDS AND/OR FEET; 2.6 CM TO 7.5 CM||13132|REPAIR OF WOUND OR LESION
REPAIR, COMPLEX, FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, AXILLAE, GENITALIA, HANDS AND/OR FEET; EACH ADDITIONAL 5 CM OR LESS (LIST SEPARATELY IN A|DDI|13133|REPAIR WOUND/LESION ADD-ON
REPAIR, COMPLEX, EYELIDS, NOSE, EARS AND/OR LIPS; 1.0 CM OR LESS||13150|REPAIR OF WOUND OR LESION
REPAIR, COMPLEX, EYELIDS, NOSE, EARS AND/OR LIPS; 1.1 CM TO 2.5 CM||13151|REPAIR OF WOUND OR LESION
REPAIR, COMPLEX, EYELIDS, NOSE, EARS AND/OR LIPS; 2.6 CM TO 7.5 CM||13152|REPAIR OF WOUND OR LESION
REPAIR, COMPLEX, EYELIDS, NOSE, EARS AND/OR LIPS; EACH ADDITIONAL 5 CM OR LESS (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)||13153|REPAIR WOUND/LESION ADD-ON
SECONDARY CLOSURE OF SURGICAL WOUND OR DEHISCENCE, EXTENSIVE OR COMPLICATED||13160|LATE CLOSURE OF WOUND
ADJACENT TISSUE TRANSFER OR REARRANGEMENT, TRUNK; DEFECT 10 SQ CM OR LESS||14000|SKIN TISSUE REARRANGEMENT
ADJACENT TISSUE TRANSFER OR REARRANGEMENT, TRUNK; DEFECT 10.1 SQ CM TO 30.0 SQ CM||14001|SKIN TISSUE REARRANGEMENT
ADJACENT TISSUE TRANSFER OR REARRANGEMENT, SCALP, ARMS AND/OR LEGS; DEFECT 10 SQ CM OR LESS||14020|SKIN TISSUE REARRANGEMENT
ADJACENT TISSUE TRANSFER OR REARRANGEMENT, SCALP, ARMS AND/OR LEGS; DEFECT 10.1 SQ CM TO 30.0 SQ CM||14021|SKIN TISSUE REARRANGEMENT
ADJACENT TISSUE TRANSFER OR REARRANGEMENT, FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, AXILLAE, GENITALIA, HANDS AND/OR FEET; DEFECT 10 SQ CM OR LESS||14040|SKIN TISSUE REARRANGEMENT
ADJACENT TISSUE TRANSFER OR REARRANGEMENT, FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, AXILLAE, GENITALIA, HANDS AND/OR FEET; DEFECT 10.1 SQ CM TO 30.|0 S|14041|SKIN TISSUE REARRANGEMENT
ADJACENT TISSUE TRANSFER OR REARRANGEMENT, EYELIDS, NOSE, EARS AND/OR LIPS; DEFECT 10 SQ CM OR LESS||14060|SKIN TISSUE REARRANGEMENT
ADJACENT TISSUE TRANSFER OR REARRANGEMENT, EYELIDS, NOSE, EARS AND/OR LIPS; DEFECT 10.1 SQ CM TO 30.0 SQ CM||14061|SKIN TISSUE REARRANGEMENT
ADJACENT TISSUE TRANSFER OR REARRANGEMENT, MORE THAN 30 SQ CM, UNUSUAL OR COMPLICATED, ANY AREA||14300|SKIN TISSUE REARRANGEMENT
FILLETED FINGER OR TOE FLAP, INCLUDING PREPARATION OF RECIPIENT SITE||14350|SKIN TISSUE REARRANGEMENT
SURGICAL PREPARATION OR CREATION OF RECIPIENT SITE BY EXCISION OF OPEN WOUNDS, BURN ESCHAR, OR SCAR (INCLUDING SUBCUTANEOUS TISSUES); FIRST 100|SQ|15000|SKIN GRAFT
SURGICAL PREPARATION OR CREATION OF RECIPIENT SITE BY EXCISION OF OPEN WOUNDS, BURN ESCHAR, OR SCAR (INCLUDING SUBCUTANEOUS TISSUES); EACH ADDI|TIO|15001|SKIN GRAFT ADD-ON
PINCH GRAFT, SINGLE OR MULTIPLE, TO COVER SMALL ULCER, TIP OF DIGIT, OR OTHER MINIMAL OPEN AREA (EXCEPT ON FACE), UP TO DEFECT SIZE 2 CM DIAMET|ER|15050|SKIN PINCH GRAFT
SPLIT GRAFT, TRUNK, ARMS, LEGS; FIRST 100 SQ CM OR LESS, OR ONE PERCENT OF BODY AREA OF INFANTS AND CHILDREN (EXCEPT 15050)||15100|SKIN SPLIT GRAFT
SPLIT GRAFT, TRUNK, ARMS, LEGS; EACH ADDITIONAL 100 SQ CM, OR EACH ADDITIONAL ONE PERCENT OF BODY AREA OF INFANTS AND CHILDREN, OR PART THEREOF|(L|15101|SKIN SPLIT GRAFT ADD-ON
SPLIT GRAFT, FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, ORBITS, GENITALIA, HANDS, FEET AND/OR MULTIPLE DIGITS; FIRST 100 SQ CM OR LESS, OR ONE PE|RCE|15120|SKIN SPLIT GRAFT
SPLIT GRAFT, FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, ORBITS, GENITALIA, HANDS, FEET AND/OR MULTIPLE DIGITS; EA ADD 100 SQ CM,OR EA ADD ONE PER|CEN|15121|SKIN SPLIT GRAFT ADD-ON
FULL THICKNESS GRAFT, FREE, INCLUDING DIRECT CLOSURE OF DONOR SITE, TRUNK; 20 SQ CM OR LESS||15200|SKIN FULL GRAFT
FULL THICKNESS GRAFT, FREE, INCLUDING DIRECT CLOSURE OF DONOR SITE, TRUNK; EACH ADDITIONAL 20 SQ CM (LIST SEPARATELY IN ADDITION TO CODE FOR PR|IMA|15201|SKIN FULL GRAFT ADD-ON
FULL THICKNESS GRAFT, FREE, INCLUDING DIRECT CLOSURE OF DONOR SITE, SCALP, ARMS, AND/OR LEGS; 20 SQ CM OR LESS||15220|SKIN FULL GRAFT
FULL THICKNESS GRAFT, FREE, INCLUDING DIRECT CLOSURE OF DONOR SITE, SCALP, ARMS, AND/OR LEGS; EACH ADDITIONAL 20 SQ CM (LIST SEPARATELY IN ADDI|TIO|15221|SKIN FULL GRAFT ADD-ON
FULL THICKNESS GRAFT, FREE, INCLUDING DIRECT CLOSURE OF DONOR SITE, FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, AXILLAE, GENITALIA, HANDS, AND/OR FEET|; 2|15240|SKIN FULL GRAFT
FULL THICKNESS GRAFT, FREE, INCLUDING DIRECT CLOSURE OF DONOR SITE, FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, AXILLAE, GENITALIA, HANDS, AND/OR FEET|; E|15241|SKIN FULL GRAFT ADD-ON
FULL THICKNESS GRAFT, FREE, INCLUDING DIRECT CLOSURE OF DONOR SITE, NOSE, EARS, EYELIDS, AND/OR LIPS; 20 SQ CM OR LESS||15260|SKIN FULL GRAFT
FULL THICKNESS GRAFT, FREE, INCLUDING DIRECT CLOSURE OF DONOR SITE, NOSE, EARS, EYELIDS, AND/OR LIPS; EACH ADDITIONAL 20 SQ CM (LIST SEPARATELY|IN|15261|SKIN FULL GRAFT ADD-ON
APPLICATION OF BILAMINATE SKIN SUBSTITUTE/NEODERMIS; 25 SQ CM||15342|APP BILAM SKN SUB/NEOD;25 SQCM
APPLICATION OF BILAMINATE SKIN SUBSTITUTE/NEODERMIS; EACH ADDITIONAL 25 SQ CM (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)||15343|APP BILAM SKN SUB/NEOD;ADD 25
APPLICATION OF ALLOGRAFT, SKIN; 100 SQ CM OR LESS||15350|SKIN HOMOGRAFT
APPLICATION OF ALLOGRAFT, SKIN; EACH ADDITIONAL 100 SQ CM (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)||15351|SKIN HOMOGRAFT ADD-ON
APPLICATION OF XENOGRAFT, SKIN; 100 SQ CM OR LESS||15400|SKIN HETEROGRAFT
APPLICATION OF XENOGRAFT, SKIN; EACH ADDITIONAL 100 SQ CM (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)||15401|SKIN HETEROGRAFT ADD-ON
FORMATION OF DIRECT OR TUBED PEDICLE, WITH OR WITHOUT TRANSFER; TRUNK||15570|FORM SKIN PEDICLE FLAP
FORMATION OF DIRECT OR TUBED PEDICLE, WITH OR WITHOUT TRANSFER; SCALP, ARMS, OR LEGS||15572|FORM SKIN PEDICLE FLAP
FORMATION OF DIRECT OR TUBED PEDICLE, WITH OR WITHOUT TRANSFER; FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, AXILLAE, GENITALIA, HANDS OR FEET||15574|FORM SKIN PEDICLE FLAP
FORMATION OF DIRECT OR TUBED PEDICLE, WITH OR WITHOUT TRANSFER; EYELIDS, NOSE, EARS, LIPS, OR INTRAORAL||15576|FORM SKIN PEDICLE FLAP
DELAY OF FLAP OR SECTIONING OF FLAP (DIVISION AND INSET); AT TRUNK||15600|SKIN GRAFT
DELAY OF FLAP OR SECTIONING OF FLAP (DIVISION AND INSET); AT SCALP, ARMS, OR LEGS||15610|SKIN GRAFT
DELAY OF FLAP OR SECTIONING OF FLAP (DIVISION AND INSET); AT FOREHEAD, CHEEKS, CHIN, NECK, AXILLAE, GENITALIA, HANDS (EXCEPT 15625), OR FEET||15620|SKIN GRAFT
DELAY OF FLAP OR SECTIONING OF FLAP (DIVISION AND INSET); AT EYELIDS, NOSE, EARS, OR LIPS||15630|SKIN GRAFT
TRANSFER, INTERMEDIATE, OF ANY PEDICLE FLAP (EG, ABDOMEN TO WRIST, "WALKING"" TUBE), ANY LOCATION"||15650|TRANSFER SKIN PEDICLE FLAP
MUSCLE, MYOCUTANEOUS, OR FASCIOCUTANEOUS FLAP; HEAD AND NECK (EG, TEMPORALIS, MASSETER MUSCLE, STERNOCLEIDOMASTOID, LEVATOR SCAPULAE)||15732|MUSCLE-SKIN GRAFT, HEAD/NECK
MUSCLE, MYOCUTANEOUS, OR FASCIOCUTANEOUS FLAP; TRUNK||15734|MUSCLE-SKIN GRAFT, TRUNK
MUSCLE, MYOCUTANEOUS, OR FASCIOCUTANEOUS FLAP; UPPER EXTREMITY||15736|MUSCLE-SKIN GRAFT, ARM
MUSCLE, MYOCUTANEOUS, OR FASCIOCUTANEOUS FLAP; LOWER EXTREMITY||15738|MUSCLE-SKIN GRAFT, LEG
FLAP; ISLAND PEDICLE||15740|ISLAND PEDICLE FLAP GRAFT
FLAP; NEUROVASCULAR PEDICLE||15750|NEUROVASCULAR PEDICLE GRAFT
FREE MUSCLE OR MYOCUTANEOUS FLAP WITH MICROVASCULAR ANASTOMOSIS||15756|FREE MYO FLAP W/MICROVASC
FREE SKIN FLAP WITH MICROVASCULAR ANASTOMOSIS||15757|FREE SKIN FLAP, MICROVASC
FREE FASCIAL FLAP WITH MICROVASCULAR ANASTOMOSIS||15758|FREE FASCIAL FLAP, MICROVASC
GRAFT; COMPOSITE (EG, FULL THICKNESS OF EXTERNAL EAR OR NASAL ALA), INCLUDING PRIMARY CLOSURE, DONOR AREA||15760|COMPOSITE SKIN GRAFT
GRAFT; DERMA-FAT-FASCIA||15770|DERMA-FAT-FASCIA GRAFT
PUNCH GRAFT FOR HAIR TRANSPLANT; 1 TO 15 PUNCH GRAFTS||15775|HAIR TRANSPLANT PUNCH GRAFTS
PUNCH GRAFT FOR HAIR TRANSPLANT; MORE THAN 15 PUNCH GRAFTS||15776|HAIR TRANSPLANT PUNCH GRAFTS
DERMABRASION; TOTAL FACE (EG, FOR ACNE SCARRING, FINE WRINKLING, RHYTIDS, GENERAL KERATOSIS)||15780|ABRASION TREATMENT OF SKIN
DERMABRASION; SEGMENTAL, FACE||15781|ABRASION TREATMENT OF SKIN
DERMABRASION; REGIONAL, OTHER THAN FACE||15782|ABRASION TREATMENT OF SKIN
DERMABRASION; SUPERFICIAL, ANY SITE, (EG, TATTOO REMOVAL)||15783|ABRASION TREATMENT OF SKIN
ABRASION; SINGLE LESION (EG, KERATOSIS, SCAR)||15786|ABRASION, LESION, SINGLE
ABRASION; EACH ADDITIONAL FOUR LESIONS OR LESS (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)||15787|ABRASION, LESIONS, ADD-ON
CHEMICAL PEEL, FACIAL; EPIDERMAL||15788|CHEMICAL PEEL, FACE, EPIDERM
CHEMICAL PEEL, FACIAL; DERMAL||15789|CHEMICAL PEEL, FACE, DERMAL
CHEMICAL PEEL, NONFACIAL; EPIDERMAL||15792|CHEMICAL PEEL, NONFACIAL
CHEMICAL PEEL, NONFACIAL; DERMAL||15793|CHEMICAL PEEL, NONFACIAL
SALABRASION; 20 SQ CM OR LESS||15810|SALABRASION
SALABRASION; OVER 20 SQ CM||15811|SALABRASION
CERVICOPLASTY||15819|PLASTIC SURGERY, NECK
BLEPHAROPLASTY, LOWER EYELID;||15820|REVISION OF LOWER EYELID
BLEPHAROPLASTY, LOWER EYELID; WITH EXTENSIVE HERNIATED FAT PAD||15821|REVISION OF LOWER EYELID
BLEPHAROPLASTY, UPPER EYELID;||15822|REVISION OF UPPER EYELID
BLEPHAROPLASTY, UPPER EYELID; WITH EXCESSIVE SKIN WEIGHTING DOWN LID||15823|REVISION OF UPPER EYELID
RHYTIDECTOMY; FOREHEAD||15824|REMOVAL OF FOREHEAD WRINKLES
RHYTIDECTOMY; NECK WITH PLATYSMAL TIGHTENING (PLATYSMAL FLAP, "P-FLAP"")"||15825|REMOVAL OF NECK WRINKLES
RHYTIDECTOMY; GLABELLAR FROWN LINES||15826|REMOVAL OF BROW WRINKLES
RHYTIDECTOMY; CHEEK, CHIN, AND NECK||15828|REMOVAL OF FACE WRINKLES
RHYTIDECTOMY; SUPERFICIAL MUSCULOAPONEUROTIC SYSTEM (SMAS) FLAP||15829|REMOVAL OF SKIN WRINKLES
EXCISION, EXCESSIVE SKIN AND SUBCUTANEOUS TISSUE (INCLUDING LIPECTOMY); ABDOMEN (ABDOMINOPLASTY)||15831|EXCISE EXCESSIVE SKIN TISSUE
EXCISION, EXCESSIVE SKIN AND SUBCUTANEOUS TISSUE (INCLUDING LIPECTOMY); THIGH||15832|EXCISE EXCESSIVE SKIN TISSUE
EXCISION, EXCESSIVE SKIN AND SUBCUTANEOUS TISSUE (INCLUDING LIPECTOMY); LEG||15833|EXCISE EXCESSIVE SKIN TISSUE
EXCISION, EXCESSIVE SKIN AND SUBCUTANEOUS TISSUE (INCLUDING LIPECTOMY); HIP||15834|EXCISE EXCESSIVE SKIN TISSUE
EXCISION, EXCESSIVE SKIN AND SUBCUTANEOUS TISSUE (INCLUDING LIPECTOMY); BUTTOCK||15835|EXCISE EXCESSIVE SKIN TISSUE
EXCISION, EXCESSIVE SKIN AND SUBCUTANEOUS TISSUE (INCLUDING LIPECTOMY); ARM||15836|EXCISE EXCESSIVE SKIN TISSUE
EXCISION, EXCESSIVE SKIN AND SUBCUTANEOUS TISSUE (INCLUDING LIPECTOMY); FOREARM OR HAND||15837|EXCISE EXCESSIVE SKIN TISSUE
EXCISION, EXCESSIVE SKIN AND SUBCUTANEOUS TISSUE (INCLUDING LIPECTOMY); SUBMENTAL FAT PAD||15838|EXCISE EXCESSIVE SKIN TISSUE
EXCISION, EXCESSIVE SKIN AND SUBCUTANEOUS TISSUE (INCLUDING LIPECTOMY); OTHER AREA||15839|EXCISE EXCESSIVE SKIN TISSUE
GRAFT FOR FACIAL NERVE PARALYSIS; FREE FASCIA GRAFT (INCLUDING OBTAINING FASCIA)||15840|GRAFT FOR FACE NERVE PALSY
GRAFT FOR FACIAL NERVE PARALYSIS; FREE MUSCLE GRAFT (INCLUDING OBTAINING GRAFT)||15841|GRAFT FOR FACE NERVE PALSY
GRAFT FOR FACIAL NERVE PARALYSIS; FREE MUSCLE FLAP BY MICROSURGICAL TECHNIQUE||15842|GRFT,FAC NRVE PARAL;MICROSUR
GRAFT FOR FACIAL NERVE PARALYSIS; REGIONAL MUSCLE TRANSFER||15845|SKIN AND MUSCLE REPAIR, FACE
REMOVAL OF SUTURES UNDER ANESTHESIA (OTHER THAN LOCAL), SAME SURGEON||15850|REMOVAL OF SUTURES
REMOVAL OF SUTURES UNDER ANESTHESIA (OTHER THAN LOCAL), OTHER SURGEON||15851|REMOVAL OF SUTURES
DRESSING CHANGE (FOR OTHER THAN BURNS) UNDER ANESTHESIA (OTHER THAN LOCAL)||15852|DRESSING CHANGE,NOT FOR BURN
INTRAVENOUS INJECTION OF AGENT TO TEST VASCULAR FLOW IN FLAP OR GRAFT||15860|TEST FOR BLOOD FLOW IN GRAFT
SUCTION ASSISTED LIPECTOMY; HEAD AND NECK||15876|SUCTION ASSISTED LIPECTOMY
SUCTION ASSISTED LIPECTOMY; TRUNK||15877|SUCTION ASSISTED LIPECTOMY
SUCTION ASSISTED LIPECTOMY; UPPER EXTREMITY||15878|SUCTION ASSISTED LIPECTOMY
SUCTION ASSISTED LIPECTOMY; LOWER EXTREMITY||15879|SUCTION ASSISTED LIPECTOMY
EXCISION, COCCYGEAL PRESSURE ULCER, WITH COCCYGECTOMY; WITH PRIMARY SUTURE||15920|REMOVAL OF TAIL BONE ULCER
EXCISION, COCCYGEAL PRESSURE ULCER, WITH COCCYGECTOMY; WITH FLAP CLOSURE||15922|REMOVAL OF TAIL BONE ULCER
EXCISION, SACRAL PRESSURE ULCER, WITH PRIMARY SUTURE;||15931|REMOVE SACRUM PRESSURE SORE
EXCISION, SACRAL PRESSURE ULCER, WITH PRIMARY SUTURE; WITH OSTECTOMY||15933|REMOVE SACRUM PRESSURE SORE
EXCISION, SACRAL PRESSURE ULCER, WITH SKIN FLAP CLOSURE;||15934|REMOVE SACRUM PRESSURE SORE
EXCISION, SACRAL PRESSURE ULCER, WITH SKIN FLAP CLOSURE; WITH OSTECTOMY||15935|REMOVE SACRUM PRESSURE SORE
EXCISION, SACRAL PRESSURE ULCER, IN PREPARATION FOR MUSCLE OR MYOCUTANEOUS FLAP OR SKIN GRAFT CLOSURE||15936|REMOVE SACRUM PRESSURE SORE
EXCISION, SACRAL PRESSURE ULCER, WITH MUSCLE OR MYOCUTANEOUS FLAP CLOSURE; WITH OSTECTOMY||15937|REMOVE SACRUM PRESSURE SORE
EXCISION, ISCHIAL PRESSURE ULCER, WITH PRIMARY SUTURE;||15940|REMOVE HIP PRESSURE SORE
EXCISION, ISCHIAL PRESSURE ULCER, WITH PRIMARY SUTURE; WITH OSTECTOMY (ISCHIECTOMY)||15941|REMOVE HIP PRESSURE SORE
EXCISION, ISCHIAL PRESSURE ULCER, WITH SKIN FLAP CLOSURE;||15944|REMOVE HIP PRESSURE SORE
EXCISION, ISCHIAL PRESSURE ULCER, WITH SKIN FLAP CLOSURE; WITH OSTECTOMY||15945|REMOVE HIP PRESSURE SORE
EXCISION, ISCHIAL PRESSURE ULCER, WITH OSTECTOMY, IN PREPARATION FOR MUSCLE OR MYOCUTANEOUS FLAP OR SKIN GRAFT CLOSURE||15946|REMOVE HIP PRESSURE SORE
EXCISION, TROCHANTERIC PRESSURE ULCER, WITH PRIMARY SUTURE;||15950|REMOVE THIGH PRESSURE SORE
EXCISION, TROCHANTERIC PRESSURE ULCER, WITH PRIMARY SUTURE; WITH OSTECTOMY||15951|REMOVE THIGH PRESSURE SORE
EXCISION, TROCHANTERIC PRESSURE ULCER, WITH SKIN FLAP CLOSURE;||15952|REMOVE THIGH PRESSURE SORE
EXCISION, TROCHANTERIC PRESSURE ULCER, WITH SKIN FLAP CLOSURE; WITH OSTECTOMY||15953|REMOVE THIGH PRESSURE SORE
EXCISION, TROCHANTERIC PRESSURE ULCER, IN PREPARATION FOR MUSCLE OR MYOCUTANEOUS FLAP OR SKIN GRAFT CLOSURE||15956|REMOVE THIGH PRESSURE SORE
EXCISION, TROCHANTERIC PRESSURE ULCER, IN PREPARATION FOR MUSCLE OR MYOCUTANEOUS FLAP OR SKIN GRAFT CLOSURE; WITH OSTECTOMY||15958|REMOVE THIGH PRESSURE SORE
UNLISTED PROCEDURE, EXCISION PRESSURE ULCER||15999|REMOVAL OF PRESSURE SORE
INITIAL TREATMENT, FIRST DEGREE BURN, WHEN NO MORE THAN LOCAL TREATMENT IS REQUIRED||16000|INITIAL TREATMENT OF BURN(S)
DRESSINGS AND/OR DEBRIDEMENT, INITIAL OR SUBSEQUENT; UNDER ANESTHESIA, SMALL||16010|TREATMENT OF BURN(S)
DRESSINGS AND/OR DEBRIDEMENT, INITIAL OR SUBSEQUENT; UNDER ANESTHESIA, MEDIUM OR LARGE, OR WITH MAJOR DEBRIDEMENT||16015|TREATMENT OF BURN(S)
DRESSINGS AND/OR DEBRIDEMENT, INITIAL OR SUBSEQUENT; WITHOUT ANESTHESIA, OFFICE OR HOSPITAL, SMALL||16020|TREATMENT OF BURN(S)
DRESSINGS AND/OR DEBRIDEMENT, INITIAL OR SUBSEQUENT; WITHOUT ANESTHESIA, MEDIUM (EG, WHOLE FACE OR WHOLE EXTREMITY)||16025|TREATMENT OF BURN(S)
DRESSINGS AND/OR DEBRIDEMENT, INITIAL OR SUBSEQUENT; WITHOUT ANESTHESIA, LARGE (EG, MORE THAN ONE EXTREMITY)||16030|TREATMENT OF BURN(S)
ESCHAROTOMY; INITIAL INCISION||16035|ESCHAROTOMY; INITIAL INCISION
ESCHAROTOMY; EACH ADDITIONAL INCISION (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)||16036|ESCHAROTOMY; EACH ADD INCISION
DESTRUCTION, ALL BENIGN OR PREMALIGNANT LESIONS OTHER THAN SKIN TAGS OR CUTANEOUS VASCULAR PROLIFERATIVE LESIONS; FIRST LESION||17000|DETROY BENIGN/PREMAL LESION
DESTRUCTION, ALL BENIGN OR PREMALIGNANT LESIONS OTHER THAN SKIN TAGS OR CUTANEOUS VASCULAR PROLIFERATIVE LESIONS; SECOND THROUGH 14 LESIONS, EA|CH|17003|DESTROY LESIONS, 2-14
DESTRUCTION, ALL BENIGN OR PREMALIGNANT LESIONS OTHER THAN SKIN TAGS OR CUTANEOUS VASCULAR PROLIFERATIVE LESIONS; 15 OR MORE LESIONS||17004|DESTROY LESIONS, 15 OR MORE
DESTRUCTION OF CUTANEOUS VASCULAR PROLIFERATIVE LESIONS (EG, LASER TECHNIQUE); LESS THAN 10 SQ CM||17106|DESTRUCTION OF SKIN LESIONS
DESTRUCTION OF CUTANEOUS VASCULAR PROLIFERATIVE LESIONS (EG, LASER TECHNIQUE); 10.0 - 50.0 SQ CM||17107|DESTRUCTION OF SKIN LESIONS
DESTRUCTION OF CUTANEOUS VASCULAR PROLIFERATIVE LESIONS (EG, LASER TECHNIQUE); OVER 50.0 SQ CM||17108|DESTRUCTION OF SKIN LESIONS
DESTRUCTION, OF FLAT WARTS, MOLLUSCUM CONTAGIOSUM, OR MILIA; UP TO 14 LESIONS||17110|DESTRUCT LESION, 1-14
DESTRUCTION, OF FLAT WARTS, MOLLUSCUM CONTAGIOSUM, OR MILIA; UP TO 15 LESIONS||17111|DESTRUCT LESION, 15 OR MORE
CHEMICAL CAUTERIZATION OF GRANULATION TISSUE (PROUD FLESH, SINUS OR FISTULA)||17250|CHEMICAL CAUTERY, TISSUE
DESTRUCTION, MALIGNANT LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER 0.5 CM OR LESS||17260|DESTRUCTION OF SKIN LESIONS
DESTRUCTION, MALIGNANT LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER 0.6 TO 1.0 CM||17261|DESTRUCTION OF SKIN LESIONS
DESTRUCTION, MALIGNANT LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER 1.1 TO 2.0 CM||17262|DESTRUCTION OF SKIN LESIONS
DESTRUCTION, MALIGNANT LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER 2.1 TO 3.0 CM||17263|DESTRUCTION OF SKIN LESIONS
DESTRUCTION, MALIGNANT LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER 3.1 TO 4.0 CM||17264|DESTRUCTION OF SKIN LESIONS
DESTRUCTION, MALIGNANT LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER OVER 4.0 CM||17266|DESTRUCTION OF SKIN LESIONS
DESTRUCTION, MALIGNANT LESION, SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER 0.5 CM OR LESS||17270|DESTRUCTION OF SKIN LESIONS
DESTRUCTION, MALIGNANT LESION, SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER 0.6 TO 1.0 CM||17271|DESTRUCTION OF SKIN LESIONS
DESTRUCTION, MALIGNANT LESION, SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER 1.1 TO 2.0 CM||17272|DESTRUCTION OF SKIN LESIONS
DESTRUCTION, MALIGNANT LESION, SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER 2.1 TO 3.0 CM||17273|DESTRUCTION OF SKIN LESIONS
